"module name","licenses","repository","licenseUrl","parents"
"iconv-lite@0.4.24","MIT","https://github.com/ashtuchkin/iconv-lite","https://github.com/ashtuchkin/iconv-lite/raw/master/LICENSE","cards"
"ignore-by-default@1.0.1","ISC","https://github.com/novemberborn/ignore-by-default","https://github.com/novemberborn/ignore-by-default/raw/master/LICENSE","cards"
"ignore@4.0.6","MIT","https://github.com/kaelzhang/node-ignore","https://github.com/kaelzhang/node-ignore/raw/master/LICENSE-MIT","cards"
"ignore@5.1.8","MIT","https://github.com/kaelzhang/node-ignore","https://github.com/kaelzhang/node-ignore/raw/master/LICENSE-MIT","globby:cards"
"immediate@3.0.6","MIT","https://github.com/calvinmetcalf/immediate","https://github.com/calvinmetcalf/immediate/raw/master/LICENSE.txt","cards"
"import-fresh@3.2.2","MIT","https://github.com/sindresorhus/import-fresh","https://github.com/sindresorhus/import-fresh/raw/master/license","cards"
"import-lazy@2.1.0","MIT","https://github.com/sindresorhus/import-lazy","https://github.com/sindresorhus/import-lazy/raw/master/license","cards"
"imurmurhash@0.1.4","MIT","https://github.com/jensyt/imurmurhash-js","https://github.com/jensyt/imurmurhash-js","cards"
"inflight@1.0.6","ISC","https://github.com/npm/inflight","https://github.com/npm/inflight/raw/master/LICENSE","cards"
"inherits@2.0.3","ISC","https://github.com/isaacs/inherits","https://github.com/isaacs/inherits/raw/master/LICENSE","cards"
"ini@1.3.7","ISC","https://github.com/isaacs/ini","https://github.com/isaacs/ini/raw/master/LICENSE","cards"
"ipaddr.js@1.9.1","MIT","https://github.com/whitequark/ipaddr.js","https://github.com/whitequark/ipaddr.js/raw/master/LICENSE","cards"
"is-binary-path@2.1.0","MIT","https://github.com/sindresorhus/is-binary-path","https://github.com/sindresorhus/is-binary-path/raw/master/license","cards"
"is-ci@2.0.0","MIT","https://github.com/watson/is-ci","https://github.com/watson/is-ci/raw/master/LICENSE","cards"
"is-extglob@2.1.1","MIT","https://github.com/jonschlinkert/is-extglob","https://github.com/jonschlinkert/is-extglob/raw/master/LICENSE","cards"
"is-fullwidth-code-point@2.0.0","MIT","https://github.com/sindresorhus/is-fullwidth-code-point","https://github.com/sindresorhus/is-fullwidth-code-point/raw/master/license","cards"
"is-fullwidth-code-point@3.0.0","MIT","https://github.com/sindresorhus/is-fullwidth-code-point","https://github.com/sindresorhus/is-fullwidth-code-point/raw/master/license","string-width:cards"
"is-glob@4.0.1","MIT","https://github.com/micromatch/is-glob","https://github.com/micromatch/is-glob/raw/master/LICENSE","cards"
"is-installed-globally@0.3.2","MIT","https://github.com/sindresorhus/is-installed-globally","https://github.com/sindresorhus/is-installed-globally/raw/master/license","cards"
"is-npm@4.0.0","MIT","https://github.com/sindresorhus/is-npm","https://github.com/sindresorhus/is-npm/raw/master/license","cards"
"is-number@7.0.0","MIT","https://github.com/jonschlinkert/is-number","https://github.com/jonschlinkert/is-number/raw/master/LICENSE","cards"
"is-obj@2.0.0","MIT","https://github.com/sindresorhus/is-obj","https://github.com/sindresorhus/is-obj/raw/master/license","cards"
"is-path-inside@3.0.2","MIT","https://github.com/sindresorhus/is-path-inside","https://github.com/sindresorhus/is-path-inside/raw/master/license","cards"
"is-typedarray@1.0.0","MIT","https://github.com/hughsk/is-typedarray","https://github.com/hughsk/is-typedarray/raw/master/LICENSE.md","cards"
"is-yarn-global@0.3.0","MIT","https://github.com/LitoMore/is-yarn-global","https://github.com/LitoMore/is-yarn-global/raw/master/LICENSE","cards"
"isexe@2.0.0","ISC","https://github.com/isaacs/isexe","https://github.com/isaacs/isexe/raw/master/LICENSE","cards"
